,rate_code_id,RatecodeID,rate_code_name
756,756,1,standard rate
757,757,1,standard rate
758,758,1,standard rate
759,759,1,standard rate
760,760,1,standard rate
761,761,1,standard rate
762,762,1,standard rate
763,763,1,standard rate
764,764,1,standard rate
765,765,1,standard rate
766,766,1,standard rate
767,767,1,standard rate
768,768,1,standard rate
769,769,1,standard rate
770,770,2,JFK
771,771,2,JFK
772,772,1,standard rate
773,773,1,standard rate
774,774,1,standard rate
775,775,1,standard rate
776,776,1,standard rate
777,777,1,standard rate
778,778,1,standard rate
779,779,1,standard rate
780,780,1,standard rate
781,781,1,standard rate
782,782,1,standard rate
783,783,1,standard rate
784,784,1,standard rate
785,785,1,standard rate
786,786,1,standard rate
787,787,1,standard rate
788,788,1,standard rate
789,789,1,standard rate
790,790,1,standard rate
791,791,1,standard rate
792,792,1,standard rate
793,793,1,standard rate
794,794,1,standard rate
795,795,1,standard rate
796,796,1,standard rate
797,797,1,standard rate
798,798,1,standard rate
799,799,1,standard rate
800,800,1,standard rate
801,801,1,standard rate
802,802,1,standard rate
803,803,1,standard rate
804,804,1,standard rate
805,805,1,standard rate
806,806,1,standard rate
807,807,1,standard rate
808,808,1,standard rate
809,809,1,standard rate
810,810,1,standard rate
811,811,1,standard rate
812,812,1,standard rate
813,813,1,standard rate
814,814,2,JFK
815,815,1,standard rate
816,816,1,standard rate
817,817,1,standard rate
818,818,1,standard rate
819,819,1,standard rate
820,820,1,standard rate
821,821,1,standard rate
822,822,1,standard rate
823,823,1,standard rate
824,824,1,standard rate
825,825,1,standard rate
826,826,1,standard rate
827,827,1,standard rate
828,828,1,standard rate
829,829,1,standard rate
830,830,1,standard rate
831,831,1,standard rate
832,832,1,standard rate
833,833,1,standard rate
834,834,1,standard rate
835,835,1,standard rate
836,836,1,standard rate
837,837,1,standard rate
838,838,1,standard rate
839,839,1,standard rate
840,840,1,standard rate
841,841,1,standard rate
842,842,1,standard rate
843,843,1,standard rate
844,844,1,standard rate
845,845,1,standard rate
846,846,1,standard rate
847,847,1,standard rate
848,848,2,JFK
849,849,1,standard rate
850,850,1,standard rate
851,851,1,standard rate
852,852,1,standard rate
853,853,1,standard rate
854,854,1,standard rate
855,855,1,standard rate
856,856,1,standard rate
857,857,1,standard rate
858,858,1,standard rate
859,859,1,standard rate
860,860,1,standard rate
861,861,1,standard rate
862,862,1,standard rate
863,863,1,standard rate
864,864,1,standard rate
865,865,1,standard rate
866,866,1,standard rate
867,867,1,standard rate
868,868,1,standard rate
869,869,1,standard rate
870,870,1,standard rate
871,871,1,standard rate
872,872,1,standard rate
873,873,1,standard rate
874,874,1,standard rate
875,875,1,standard rate
876,876,1,standard rate
877,877,1,standard rate
878,878,1,standard rate
879,879,1,standard rate
880,880,1,standard rate
881,881,1,standard rate
882,882,1,standard rate
883,883,1,standard rate
884,884,1,standard rate
885,885,1,standard rate
886,886,1,standard rate
887,887,1,standard rate
888,888,1,standard rate
889,889,1,standard rate
890,890,1,standard rate
891,891,1,standard rate
892,892,1,standard rate
893,893,1,standard rate
894,894,1,standard rate
895,895,1,standard rate
896,896,1,standard rate
897,897,1,standard rate
898,898,1,standard rate
899,899,1,standard rate
900,900,1,standard rate
901,901,1,standard rate
902,902,1,standard rate
903,903,1,standard rate
904,904,1,standard rate
905,905,1,standard rate
906,906,1,standard rate
907,907,1,standard rate
908,908,1,standard rate
909,909,1,standard rate
910,910,1,standard rate
911,911,1,standard rate
912,912,1,standard rate
913,913,1,standard rate
914,914,1,standard rate
915,915,1,standard rate
916,916,1,standard rate
917,917,1,standard rate
918,918,1,standard rate
919,919,1,standard rate
920,920,1,standard rate
921,921,1,standard rate
922,922,1,standard rate
923,923,1,standard rate
924,924,1,standard rate
925,925,1,standard rate
926,926,1,standard rate
927,927,1,standard rate
928,928,1,standard rate
929,929,1,standard rate
930,930,1,standard rate
931,931,1,standard rate
932,932,1,standard rate
933,933,1,standard rate
934,934,1,standard rate
935,935,1,standard rate
936,936,1,standard rate
937,937,1,standard rate
938,938,1,standard rate
939,939,1,standard rate
940,940,1,standard rate
941,941,1,standard rate
942,942,1,standard rate
943,943,1,standard rate
944,944,1,standard rate
945,945,1,standard rate
946,946,1,standard rate
947,947,1,standard rate
948,948,1,standard rate
949,949,1,standard rate
950,950,1,standard rate
951,951,1,standard rate
952,952,1,standard rate
953,953,1,standard rate
954,954,1,standard rate
955,955,1,standard rate
956,956,1,standard rate
957,957,1,standard rate
958,958,1,standard rate
959,959,1,standard rate
960,960,1,standard rate
961,961,1,standard rate
962,962,1,standard rate
963,963,1,standard rate
964,964,1,standard rate
965,965,1,standard rate
966,966,1,standard rate
967,967,1,standard rate
968,968,1,standard rate
969,969,1,standard rate
970,970,1,standard rate
971,971,1,standard rate
972,972,1,standard rate
973,973,1,standard rate
974,974,1,standard rate
975,975,1,standard rate
976,976,1,standard rate
977,977,1,standard rate
978,978,1,standard rate
979,979,1,standard rate
980,980,1,standard rate
981,981,1,standard rate
982,982,1,standard rate
983,983,1,standard rate
984,984,1,standard rate
985,985,1,standard rate
986,986,1,standard rate
987,987,1,standard rate
988,988,1,standard rate
989,989,1,standard rate
990,990,1,standard rate
991,991,1,standard rate
992,992,2,JFK
993,993,1,standard rate
994,994,1,standard rate
995,995,1,standard rate
996,996,1,standard rate
997,997,1,standard rate
998,998,1,standard rate
999,999,1,standard rate
1000,1000,1,standard rate
1001,1001,1,standard rate
1002,1002,1,standard rate
1003,1003,1,standard rate
1004,1004,1,standard rate
1005,1005,1,standard rate
1006,1006,1,standard rate
1007,1007,1,standard rate
1008,1008,1,standard rate
1009,1009,1,standard rate
1010,1010,1,standard rate
1011,1011,1,standard rate
1012,1012,1,standard rate
1013,1013,1,standard rate
1014,1014,1,standard rate
1015,1015,1,standard rate
1016,1016,1,standard rate
1017,1017,1,standard rate
1018,1018,1,standard rate
1019,1019,1,standard rate
1020,1020,1,standard rate
1021,1021,1,standard rate
1022,1022,1,standard rate
1023,1023,1,standard rate
1024,1024,1,standard rate
1025,1025,1,standard rate
1026,1026,1,standard rate
1027,1027,1,standard rate
1028,1028,1,standard rate
1029,1029,1,standard rate
1030,1030,1,standard rate
1031,1031,1,standard rate
1032,1032,1,standard rate
1033,1033,1,standard rate
1034,1034,1,standard rate
1035,1035,1,standard rate
1036,1036,1,standard rate
1037,1037,1,standard rate
1038,1038,1,standard rate
1039,1039,1,standard rate
1040,1040,1,standard rate
1041,1041,2,JFK
1042,1042,1,standard rate
1043,1043,1,standard rate
1044,1044,1,standard rate
1045,1045,1,standard rate
1046,1046,1,standard rate
1047,1047,2,JFK
1048,1048,1,standard rate
1049,1049,1,standard rate
1050,1050,1,standard rate
1051,1051,1,standard rate
1052,1052,1,standard rate
1053,1053,1,standard rate
1054,1054,1,standard rate
1055,1055,1,standard rate
1056,1056,1,standard rate
1057,1057,1,standard rate
1058,1058,1,standard rate
1059,1059,1,standard rate
1060,1060,1,standard rate
1061,1061,1,standard rate
1062,1062,1,standard rate
1063,1063,1,standard rate
1064,1064,1,standard rate
1065,1065,1,standard rate
1066,1066,1,standard rate
1067,1067,1,standard rate
1068,1068,1,standard rate
1069,1069,1,standard rate
1070,1070,1,standard rate
1071,1071,1,standard rate
1072,1072,1,standard rate
1073,1073,1,standard rate
1074,1074,1,standard rate
1075,1075,1,standard rate
1076,1076,1,standard rate
1077,1077,1,standard rate
1078,1078,1,standard rate
1079,1079,1,standard rate
1080,1080,1,standard rate
1081,1081,1,standard rate
1082,1082,1,standard rate
1083,1083,1,standard rate
1084,1084,1,standard rate
1085,1085,1,standard rate
1086,1086,1,standard rate
1087,1087,1,standard rate
1088,1088,1,standard rate
1089,1089,1,standard rate
1090,1090,1,standard rate
1091,1091,1,standard rate
1092,1092,1,standard rate
1093,1093,1,standard rate
1094,1094,1,standard rate
1095,1095,1,standard rate
1096,1096,1,standard rate
1097,1097,1,standard rate
1098,1098,1,standard rate
1099,1099,1,standard rate
1100,1100,1,standard rate
1101,1101,1,standard rate
1102,1102,1,standard rate
1103,1103,1,standard rate
1104,1104,1,standard rate
1105,1105,1,standard rate
1106,1106,1,standard rate
1107,1107,1,standard rate
1108,1108,1,standard rate
1109,1109,1,standard rate
1110,1110,1,standard rate
1111,1111,1,standard rate
1112,1112,1,standard rate
1113,1113,1,standard rate
1114,1114,1,standard rate
1115,1115,1,standard rate
1116,1116,2,JFK
1117,1117,1,standard rate
1118,1118,1,standard rate
1119,1119,1,standard rate
1120,1120,1,standard rate
1121,1121,1,standard rate
1122,1122,1,standard rate
1123,1123,1,standard rate
1124,1124,1,standard rate
1125,1125,1,standard rate
1126,1126,1,standard rate
1127,1127,1,standard rate
1128,1128,1,standard rate
1129,1129,1,standard rate
1130,1130,1,standard rate
1131,1131,1,standard rate
1132,1132,1,standard rate
1133,1133,1,standard rate
1134,1134,1,standard rate
1135,1135,1,standard rate
1136,1136,1,standard rate
1137,1137,1,standard rate
1138,1138,1,standard rate
1139,1139,1,standard rate
1140,1140,1,standard rate
1141,1141,1,standard rate
1142,1142,1,standard rate
1143,1143,1,standard rate
1144,1144,2,JFK
1145,1145,1,standard rate
1146,1146,1,standard rate
1147,1147,1,standard rate
1148,1148,1,standard rate
1149,1149,1,standard rate
1150,1150,1,standard rate
1151,1151,1,standard rate
1152,1152,1,standard rate
1153,1153,1,standard rate
1154,1154,1,standard rate
1155,1155,1,standard rate
1156,1156,1,standard rate
1157,1157,1,standard rate
1158,1158,1,standard rate
1159,1159,1,standard rate
1160,1160,1,standard rate
1161,1161,1,standard rate
1162,1162,2,JFK
1163,1163,1,standard rate
1164,1164,1,standard rate
1165,1165,1,standard rate
1166,1166,1,standard rate
1167,1167,1,standard rate
1168,1168,1,standard rate
1169,1169,1,standard rate
1170,1170,1,standard rate
1171,1171,1,standard rate
1172,1172,1,standard rate
1173,1173,1,standard rate
1174,1174,1,standard rate
1175,1175,1,standard rate
1176,1176,1,standard rate
1177,1177,1,standard rate
1178,1178,1,standard rate
1179,1179,1,standard rate
1180,1180,1,standard rate
1181,1181,1,standard rate
1182,1182,1,standard rate
1183,1183,1,standard rate
1184,1184,1,standard rate
1185,1185,1,standard rate
1186,1186,1,standard rate
1187,1187,1,standard rate
1188,1188,1,standard rate
1189,1189,1,standard rate
1190,1190,1,standard rate
1191,1191,1,standard rate
1192,1192,1,standard rate
1193,1193,1,standard rate
1194,1194,1,standard rate
1195,1195,1,standard rate
1196,1196,1,standard rate
1197,1197,1,standard rate
1198,1198,1,standard rate
1199,1199,1,standard rate
1200,1200,1,standard rate
1201,1201,1,standard rate
1202,1202,1,standard rate
1203,1203,1,standard rate
1204,1204,2,JFK
1205,1205,1,standard rate
1206,1206,1,standard rate
1207,1207,1,standard rate
1208,1208,1,standard rate
1209,1209,1,standard rate
1210,1210,1,standard rate
1211,1211,1,standard rate
1212,1212,1,standard rate
1213,1213,1,standard rate
1214,1214,1,standard rate
1215,1215,1,standard rate
1216,1216,1,standard rate
1217,1217,1,standard rate
