,trip_distance_id,trip_distance
622,622,2.13
623,623,3.45
624,624,0.91
625,625,17.89
626,626,17.18
627,627,1.3
628,628,5.36
629,629,3.5
630,630,1.15
631,631,0.93
632,632,3.81
633,633,5.56
634,634,3.05
635,635,0.54
636,636,2.52
637,637,0.5
638,638,1.23
639,639,1.2
640,640,7.11
641,641,1.27
642,642,2.38
643,643,17.56
644,644,1.79
645,645,5.57
646,646,2.86
647,647,1.54
648,648,1.47
649,649,1.89
650,650,1.59
651,651,4.94
652,652,1.62
653,653,2.09
654,654,1.24
655,655,1.42
656,656,8.1
657,657,1.28
658,658,2.45
659,659,0.76
660,660,17.38
661,661,2.89
662,662,4.0
663,663,0.61
664,664,1.4
665,665,2.71
666,666,0.63
667,667,3.66
668,668,0.44
669,669,2.4
670,670,0.92
671,671,3.09
672,672,12.25
673,673,3.14
674,674,9.07
675,675,19.47
676,676,5.5
677,677,0.74
678,678,2.28
679,679,12.55
680,680,1.34
681,681,1.29
682,682,5.78
683,683,2.8
684,684,3.06
685,685,0.62
686,686,1.62
687,687,0.46
688,688,3.05
689,689,1.26
690,690,5.36
691,691,11.27
692,692,0.45
693,693,0.74
694,694,2.84
695,695,0.9
696,696,1.18
697,697,0.62
698,698,0.95
699,699,6.37
700,700,2.84
701,701,0.97
702,702,7.37
703,703,1.53
704,704,1.18
705,705,4.68
706,706,1.57
707,707,1.47
708,708,4.68
709,709,1.35
710,710,7.01
711,711,6.39
712,712,0.25
713,713,4.24
714,714,1.35
715,715,1.37
716,716,1.72
717,717,2.15
718,718,0.97
719,719,1.9
720,720,0.66
721,721,2.34
722,722,1.73
723,723,1.13
724,724,9.49
725,725,3.49
726,726,1.43
727,727,1.06
728,728,0.9
729,729,1.9
730,730,0.87
731,731,2.18
732,732,0.72
733,733,2.31
734,734,4.4
735,735,0.88
736,736,5.68
737,737,0.95
738,738,1.21
739,739,0.64
740,740,1.91
741,741,1.1
742,742,1.01
743,743,3.18
744,744,1.61
745,745,2.29
746,746,2.97
747,747,0.89
748,748,3.57
749,749,2.22
750,750,0.87
751,751,1.65
752,752,0.84
753,753,1.1
754,754,1.1
755,755,0.8
756,756,4.76
757,757,1.6
758,758,10.88
759,759,1.48
760,760,10.75
761,761,1.54
762,762,11.22
763,763,4.1
764,764,7.42
765,765,0.93
766,766,2.48
767,767,1.07
768,768,2.82
769,769,1.25
770,770,16.75
771,771,18.98
772,772,4.37
773,773,3.25
774,774,2.04
775,775,3.04
776,776,2.75
777,777,4.43
778,778,1.62
779,779,1.58
780,780,15.79
781,781,3.45
782,782,3.81
783,783,1.92
784,784,1.99
785,785,1.59
786,786,1.42
787,787,1.91
788,788,3.97
789,789,12.75
790,790,3.49
791,791,2.12
792,792,2.51
793,793,1.2
794,794,1.69
795,795,0.84
796,796,0.88
797,797,5.96
798,798,2.08
799,799,2.74
800,800,3.42
801,801,2.54
802,802,0.75
803,803,4.03
804,804,0.64
805,805,1.09
806,806,1.3
807,807,1.14
808,808,4.31
809,809,1.6
810,810,4.7
811,811,10.74
812,812,1.05
813,813,0.67
814,814,17.17
815,815,1.4
816,816,2.4
817,817,0.77
818,818,1.01
819,819,1.64
820,820,16.27
821,821,1.01
822,822,7.41
823,823,3.15
824,824,0.68
825,825,1.98
826,826,18.03
827,827,0.45
828,828,5.98
829,829,0.79
830,830,0.47
831,831,3.06
832,832,1.74
833,833,2.15
834,834,4.19
835,835,0.75
836,836,8.44
837,837,3.07
838,838,0.92
839,839,0.82
840,840,0.69
841,841,1.96
842,842,1.4
843,843,2.42
844,844,1.07
845,845,0.8
846,846,1.18
847,847,3.49
848,848,20.3
849,849,2.39
850,850,1.47
851,851,0.86
852,852,1.86
853,853,0.98
854,854,1.2
855,855,1.56
856,856,3.01
857,857,2.37
858,858,3.03
859,859,4.91
860,860,1.67
861,861,0.52
